"idade 
",genero ,estado_civil,quantas_pessoas_reside,reside_em,zona,bairro,area,proximo_terreno_baldio,alagamento,cohecimento_sobre_dengue,conhece_os_sintomas,como_prevenir_dengue,medidas_caseiras
11 à 20 anos,Feminino,Solteiro,4 à 6,Casa,Zona Sul,Adhemar Garcia,Urbana,Sim,Não,Sim,Sim,Sim,Sim
41 à 59 anos,Feminino,Casado,4 à 6,Casa,Zona Sul,Adhemar Garcia,Urbana,Sim,Sim,Sim,Sim,Sim,Não
41 à 59 anos,Masculino,Casado,4 à 6,Casa,Zona Sul,Adhemar Garcia,Urbana,Sim,Sim,Sim,Sim,Sim,Não
11 à 20 anos,Feminino,Solteiro,4 à 6,Casa,Zona Sul,Adhemar Garcia,Urbana,Sim,Não,Sim,Sim,Sim,Talvez
21 à 40 anos,Masculino,Casado,1 à 3,Casa,Zona Sul,Adhemar Garcia,Urbana,Sim,Não,Sim,Sim,Não,Sim
11 à 20 anos,Feminino,Solteiro,4 à 6,Casa,Zona Sul,Adhemar Garcia,Urbana,Sim,Não,Sim,Sim,Sim,Talvez
21 à 40 anos,Masculino,Solteiro,4 à 6,Casa,Zona Sul,Adhemar Garcia,Urbana,Não,Não,Sim,Sim,Sim,Sim
21 à 40 anos,Masculino,União estável,1 à 3,Casa,Zona Sul,Adhemar Garcia,Urbana,Sim,Sim,Sim,Sim,Sim,Não
41 à 59 anos,Feminino,União estável,1 à 3,Casa,Zona Sul,Adhemar Garcia,Urbana,Desconheço,Sim,Sim,Sim,Sim,Sim
41 à 59 anos,Feminino,Casado,4 à 6,Casa,Zona Sul,Adhemar Garcia,Urbana,Sim,Não,Sim,Sim,Sim,Não
21 à 40 anos,Feminino,Solteiro,1 à 3,Apartamento,Zona Sul,Anita Garibaldi,Urbana,Desconheço,Sim,Sim,Sim,Sim,Não
21 à 40 anos,Feminino,Solteiro,1 à 3,Apartamento,Zona Sul,Anita Garibaldi,Urbana,Sim,Sim,Sim,Sim,Sim,Sim
21 à 40 anos,Masculino,Solteiro,7+,Casa,Zona Sul,Anita Garibaldi,Rural,Não,Não,Sim,Sim,Não,Não
11 à 20 anos,Feminino,Solteiro,1 à 3,Apartamento,Centro,Atiradores,Urbana,Não,Não,Sim,Sim,Sim,Sim
21 à 40 anos,Feminino,Casado,4 à 6,Apartamento,Zona Norte,Aventureiro,Urbana,Não,Não,Sim,Sim,Sim,Talvez
21 à 40 anos,Feminino,União estável,4 à 6,Casa,Zona Norte,Aventureiro,Urbana,Sim,Desconheço,Sim,Sim,Sim,Sim
21 à 40 anos,Feminino,Solteiro,4 à 6,Casa,Zona Norte,Aventureiro,,Não,Não,Sim,Sim,Sim,Não
11 à 20 anos,Feminino,Solteiro,1 à 3,Casa,Zona Norte,Aventureiro,Urbana,Sim,Não,Sim,Sim,Sim,Não
21 à 40 anos,Feminino,Casado,4 à 6,Casa,Zona Norte,Aventureiro,Urbana,Não,Sim,Sim,Sim,Não,Talvez
41 à 59 anos,Feminino,União estável,1 à 3,Geminado,Zona Norte,Aventureiro,Urbana,Desconheço,Não,Sim,Sim,Sim,Sim
41 à 59 anos,Feminino,Solteiro,1 à 3,Casa,Zona Norte,Aventureiro,,Não,Sim,Sim,Sim,Sim,Sim
